,city,lon,lat,country,max temp,pressure,humidity,wind speed,cloudiness,date_in
75,Te Anau,167.7167,-45.4167,NZ,32.16,1030,86,1.97,7,1634661851
76,Atuona,-139.0333,-9.8,PF,77.67,1017,76,21.23,31,1634661852
77,Sur,59.5289,22.5667,OM,84.29,1011,56,9.08,4,1634661582
78,Severnyy,36.5532,50.677,RU,41.04,1020,60,15.66,75,1634661853
79,Dalian,121.6022,38.9122,CN,53.62,1028,75,4.47,0,1634661720
80,Blagoyevo,47.9167,63.3667,RU,36.12,1004,85,8.16,100,1634661854
81,Kazár,19.8614,48.0495,HU,48.76,1028,69,3.33,82,1634661854
82,Atasū,71.6433,48.6814,KZ,47.84,1017,34,7.94,2,1634661739
83,Kahului,-156.47,20.8947,US,75.85,1018,82,4.61,1,1634661855
84,Mitsamiouli,43.2844,-11.3847,KM,80.89,1017,65,9.22,40,1634661855
85,Bail-Hongal,74.8667,15.8167,IN,70.93,1014,84,5.95,58,1634661855
86,Shingū,135.9833,33.7333,JP,58.35,1011,75,11.1,11,1634661856
87,Mahenge,36.7167,-8.6833,TZ,71.37,1014,49,3.18,86,1634661856
88,Bethel,-73.414,41.3712,US,63.03,1013,60,3.0,1,1634661826
89,Barrow,-156.7887,71.2906,US,21.22,1006,86,6.91,90,1634661824
90,Tazmalt,4.3989,36.3868,DZ,69.94,1024,35,5.91,0,1634661857
91,Dāmghān,54.348,36.1683,IR,62.37,1014,46,5.68,15,1634661858
92,Whyalla,137.5833,-33.0333,AU,58.89,1013,63,8.05,100,1634661858
93,Paita,-81.1144,-5.0892,PE,70.36,1014,76,10.11,100,1634661858
94,Emerald,148.1667,-23.5333,AU,73.54,1013,32,10.36,2,1634661859
95,Halapitan,125.33,7.9175,PH,70.93,1014,97,0.25,75,1634661859
96,Yellowknife,-114.3525,62.456,CA,43.41,1019,96,6.91,40,1634661860
97,Tiksi,128.8694,71.6872,RU,17.62,1001,96,7.36,100,1634661860
98,Dunedin,170.5036,-45.8742,NZ,44.8,1028,58,17.0,7,1634661861
99,Thap Than,99.8917,15.4606,TH,75.33,1014,92,2.1,46,1634661861
100,Chardara,67.9692,41.2547,KZ,64.53,1015,28,5.53,94,1634661862
101,São José da Coroa Grande,-35.1478,-8.8978,BR,82.47,1012,67,9.42,77,1634661862
102,Sisimiut,-53.6735,66.9395,GL,34.03,1021,44,10.92,51,1634661862
103,Mount Gambier,140.7667,-37.8333,AU,44.51,1021,93,5.75,74,1634661863
104,Ust'-Ishim,71.1665,57.6935,RU,51.3,1012,50,10.49,100,1634661863
105,Olafsvik,-23.7142,64.8945,IS,38.43,1010,69,37.49,57,1634661619
106,Rosarito,-117.0333,32.3333,MX,63.64,1017,57,2.84,1,1634661714
107,Tabou,-7.3528,4.423,CI,80.65,1011,79,9.75,94,1634661706
108,Bilma,12.9164,18.6853,NE,92.71,1009,11,9.24,0,1634661696
109,Ilulissat,-51.1,69.2167,GL,39.22,1020,30,17.27,75,1634661700
